round,previous_hash,hash,model_hash,clean_accuracy,backdoor_asr,zero_weight_rate
1,0000000000000000000000000000000000000000000000000000000000000000,28f4b845987778491a3d594148f0fb66c6390078c430a5727c9d4a76b64557fc,35800a8d56ca182aa5d28d0dce2338a5d779176f7453430f2f0f8a24ddc39ddd,36.9,0.0,40.0
2,28f4b845987778491a3d594148f0fb66c6390078c430a5727c9d4a76b64557fc,600163cbde14a4f1d0f8b80574435426dba16e4683be3b1ea46c64527145b960,28c7fb28cdab75aea1e39d25b16b54d1a3e53dec171f5b7b49964e2d857cb219,50.35,0.0,40.0
3,600163cbde14a4f1d0f8b80574435426dba16e4683be3b1ea46c64527145b960,612d856b0ae7ecb392a43d668982dcf45a2306f8b436295c1c0ed1ced1ca6502,1ab8ce36ffc46a9e95650356227e1c1c72332723656cc0709748c137443817c3,57.83,0.0,40.0
4,612d856b0ae7ecb392a43d668982dcf45a2306f8b436295c1c0ed1ced1ca6502,522d457584d60737c4e9206356c7ab820431af5042a8da75590be9352b539f46,3649f1d76d822671f4a64e1be4f30703c0ab5bf2e23c262a3a8bb103327348ef,65.05,0.08673026886383348,40.0
5,522d457584d60737c4e9206356c7ab820431af5042a8da75590be9352b539f46,22d563501d4b7713f1f2a2c4de8daf1801c75333b84f96bcc3ee55fd6777eea7,46a5a4f2fc37c541b1a782b2ae62bcc3ae54d2cc151833e7b3f2982b43a00f6c,71.23,0.26019080659150046,40.0
76,21c2bff6fd5e63fc0c6fa67b12781973e730bc7a569a18e95bdd6e9a7d1f62a6,8ff468ce9c0775509c46c3a86e6bca46c2474ee5847e6e3a7152be89c63068fb,943cf2d3430cf149cf9dab217fa6b38775cda524055fc56e739aa8c329e1b8f9,86.36,0.823937554206418,30.0
77,8ff468ce9c0775509c46c3a86e6bca46c2474ee5847e6e3a7152be89c63068fb,164fb8104db8e92be25033a5543aa2101f11456caec9ec7f55b9c613f15dea78,9bf7d92d9ed60aa37a425abadaa6c30f3b2d441b863824350726df85011e0e63,85.99,0.997398091934085,30.0
78,164fb8104db8e92be25033a5543aa2101f11456caec9ec7f55b9c613f15dea78,8f586a2b76a308712b276ed73431ea48627c679851bf0d9af4833cd0543a30ef,e968f60646392d2967ec8980a0a2056fa17c01145eaf06c4997915f28ae1dca7,86.42,0.997398091934085,30.0
79,8f586a2b76a308712b276ed73431ea48627c679851bf0d9af4833cd0543a30ef,4e9645e22fbe2c6072aa7d64deed8b34e03309f9e12a9469618e747b728b444e,016cf95854c0ce6cd75a51ddd6e5ca5bca29153998171478292904d338dd937a,86.29,0.7372072853425846,30.0
80,4e9645e22fbe2c6072aa7d64deed8b34e03309f9e12a9469618e747b728b444e,4eee04cc60ab1aa2e6031ff1da48583b45ef4ab67a4ebf545fff29c445a644a3,59e4398fde71c7c5e0d7bb9356b76a43febb93632a16f84584fb884492be4e7f,86.47,1.0841283607979184,30.0
