run_dir,experiment_name,dataset,iid,alpha,aggregation,attack_type,malicious_ratio,num_rounds,final_clean_accuracy,best_clean_accuracy,final_test_loss,final_backdoor_asr,final_rejection_rate,final_tpr,final_fpr,final_f1,chain_valid,total_time
experiments_b_journal\ablation_fashionmnist_noniid_backdoor_full_s42_20260615_144940,ablation_fashionmnist_noniid_backdoor_full_s42,FashionMNIST,False,0.5,proposed,backdoor,0.2,80,84.88,85.21,0.392939927482605,2.992194275802255,20.0,1.0,0.0,1.0,True,139.70754910001415
experiments_b_journal\ablation_fashionmnist_noniid_backdoor_full_s43_20260615_145206,ablation_fashionmnist_noniid_backdoor_full_s43,FashionMNIST,False,0.5,proposed,backdoor,0.2,80,82.77,83.67,0.4475337718963623,4.163052905464007,20.0,1.0,0.0,1.0,True,128.26332150000962
experiments_b_journal\ablation_fashionmnist_noniid_backdoor_full_s44_20260615_145423,ablation_fashionmnist_noniid_backdoor_full_s44,FashionMNIST,False,0.5,proposed,backdoor,0.2,80,83.39,83.58,0.43840015840530394,2.385082393755421,20.0,1.0,0.0,1.0,True,118.73644290000084
experiments_b_journal\ablation_fashionmnist_noniid_backdoor_no_direction_s42_20260615_145629,ablation_fashionmnist_noniid_backdoor_no_direction_s42,FashionMNIST,False,0.5,proposed,backdoor,0.2,80,85.21,85.32,0.40037417595386504,0.8673026886383348,20.0,1.0,0.0,1.0,True,153.9310771000164
experiments_b_journal\ablation_fashionmnist_noniid_backdoor_no_direction_s43_20260615_145911,ablation_fashionmnist_noniid_backdoor_no_direction_s43,FashionMNIST,False,0.5,proposed,backdoor,0.2,80,82.55,82.7,0.45167554187774656,3.209019947961839,20.0,1.0,0.0,1.0,True,139.1062135999964
experiments_b_journal\ablation_fashionmnist_noniid_backdoor_no_direction_s44_20260615_150138,ablation_fashionmnist_noniid_backdoor_no_direction_s44,FashionMNIST,False,0.5,proposed,backdoor,0.2,80,83.78,83.91,0.4339593722820282,1.6912402428447528,20.0,1.0,0.0,1.0,True,132.67400990001624
experiments_b_journal\ablation_fashionmnist_noniid_backdoor_no_hard_reject_s42_20260615_151119,ablation_fashionmnist_noniid_backdoor_no_hard_reject_s42,FashionMNIST,False,0.5,proposed,backdoor,0.2,80,84.88,85.14,0.3929108644962311,3.0355594102341716,20.0,1.0,0.0,1.0,True,167.46065819999785
experiments_b_journal\ablation_fashionmnist_noniid_backdoor_no_hard_reject_s43_20260615_151415,ablation_fashionmnist_noniid_backdoor_no_hard_reject_s43,FashionMNIST,False,0.5,proposed,backdoor,0.2,80,83.22,84.11,0.43583928713798525,3.642671292281006,20.0,1.0,0.0,1.0,True,138.0998406999861
experiments_b_journal\ablation_fashionmnist_noniid_backdoor_no_hard_reject_s44_20260615_151641,ablation_fashionmnist_noniid_backdoor_no_hard_reject_s44,FashionMNIST,False,0.5,proposed,backdoor,0.2,80,83.28,83.67,0.4388601058006287,2.2116218560277536,20.0,1.0,0.0,1.0,True,133.49066640000092
experiments_b_journal\ablation_fashionmnist_noniid_backdoor_no_history_s42_20260615_150358,ablation_fashionmnist_noniid_backdoor_no_history_s42,FashionMNIST,False,0.5,proposed,backdoor,0.2,80,84.08,84.51,0.408394450044632,3.1222896790980053,20.0,1.0,0.0,1.0,True,149.9350452000217
experiments_b_journal\ablation_fashionmnist_noniid_backdoor_no_history_s43_20260615_150635,ablation_fashionmnist_noniid_backdoor_no_history_s43,FashionMNIST,False,0.5,proposed,backdoor,0.2,80,82.64,82.8,0.44905863647460936,3.209019947961839,20.0,1.0,0.0,1.0,True,137.86588289999054
experiments_b_journal\ablation_fashionmnist_noniid_backdoor_no_history_s44_20260615_150900,ablation_fashionmnist_noniid_backdoor_no_history_s44,FashionMNIST,False,0.5,proposed,backdoor,0.2,80,83.04,83.32,0.44162665486335756,2.0815264527320037,30.0,1.0,0.125,0.8,True,132.13623400000506
experiments_b_journal\ablation_fashionmnist_noniid_collusive_direction_full_s42_20260615_151902,ablation_fashionmnist_noniid_collusive_direction_full_s42,FashionMNIST,False,0.5,proposed,collusive_direction,0.2,80,82.39,84.66,0.4362192681789398,1.99479618386817,20.0,1.0,0.0,1.0,True,134.29020489999675
experiments_b_journal\ablation_fashionmnist_noniid_collusive_direction_full_s43_20260615_152123,ablation_fashionmnist_noniid_collusive_direction_full_s43,FashionMNIST,False,0.5,proposed,collusive_direction,0.2,80,81.97,84.66,0.45883024735450745,2.818733738074588,20.0,1.0,0.0,1.0,True,134.44001930000377
experiments_b_journal\ablation_fashionmnist_noniid_collusive_direction_full_s44_20260615_152345,ablation_fashionmnist_noniid_collusive_direction_full_s44,FashionMNIST,False,0.5,proposed,collusive_direction,0.2,80,84.04,84.14,0.4333341784477234,1.0841283607979184,20.0,1.0,0.0,1.0,True,130.8920441000082
experiments_b_journal\ablation_fashionmnist_noniid_collusive_direction_no_direction_s42_20260615_152603,ablation_fashionmnist_noniid_collusive_direction_no_direction_s42,FashionMNIST,False,0.5,proposed,collusive_direction,0.2,80,75.25,75.25,0.5897752511024476,2.818733738074588,10.0,0.0,0.125,0.0,True,134.60611650001374
experiments_b_journal\ablation_fashionmnist_noniid_collusive_direction_no_direction_s43_20260615_152825,ablation_fashionmnist_noniid_collusive_direction_no_direction_s43,FashionMNIST,False,0.5,proposed,collusive_direction,0.2,80,78.46,78.5,0.6929140237808228,2.7753686036426712,0.0,0.0,0.0,0.0,True,135.72032390002278
experiments_b_journal\ablation_fashionmnist_noniid_collusive_direction_no_direction_s44_20260615_153048,ablation_fashionmnist_noniid_collusive_direction_no_direction_s44,FashionMNIST,False,0.5,proposed,collusive_direction,0.2,80,78.71,79.51,0.5590214604854584,3.5559410234171724,20.0,0.0,0.25,0.0,True,133.1447260999994
experiments_b_journal\ablation_fashionmnist_noniid_collusive_direction_no_hard_reject_s42_20260615_154010,ablation_fashionmnist_noniid_collusive_direction_no_hard_reject_s42,FashionMNIST,False,0.5,proposed,collusive_direction,0.2,80,76.69,76.69,0.5505130482673645,2.9488291413703385,0.0,0.0,0.0,0.0,True,133.86078630000702
