run_dir,experiment_name,suite,dataset,split,attack_type,seed,malicious_ratio,rounds,final_accuracy,final_asr,chain_verification_rate,tamper_detection_rate,tampered_blocks_detected,tampered_blocks_total,decision_reconstruction_rate,reconstructed_decisions,total_decisions,malicious_suppression_rate,benign_retention_rate,malicious_mean_weight,benign_mean_weight,weight_gap,mean_rejection_precision,mean_rejection_recall,mean_rejection_f1,mean_false_rejection_rate
experiments_b_journal\core_cifar10_iid_adaptive_scaling_proposed_s42_20260607_200333,core_cifar10_iid_adaptive_scaling_proposed_s42,main,CIFAR10,IID,adaptive_scaling,42,0.2,120,0.0,0.0,1.0,1.0,120,120,1.0,1200,1200,0.0,0.984375,0.3303273933506688,0.2563963294490315,-0.07393106390163728,0.0,0.0,0.0,0.015625
experiments_b_journal\core_cifar10_iid_backdoor_proposed_s42_20260607_231921,core_cifar10_iid_backdoor_proposed_s42,main,CIFAR10,IID,backdoor,42,0.2,120,0.0,0.0,1.0,1.0,120,120,1.0,1200,1200,0.975,0.9864583333333333,0.012667697938278728,0.2759187874539034,0.2632510895156247,0.9488888888888888,0.975,0.9576190476190476,0.013541666666666667
experiments_b_journal\core_cifar10_iid_sign_flip_proposed_s42_20260607_153042,core_cifar10_iid_sign_flip_proposed_s42,main,CIFAR10,IID,sign_flip,42,0.2,120,0.0,0.0,1.0,1.0,120,120,1.0,1200,1200,1.0,0.959375,0.0,0.2432502266118248,0.2432502266118248,0.9186111111111112,1.0,0.9463492063492063,0.040625
experiments_b_journal\core_cifar10_noniid_adaptive_scaling_proposed_s42_20260608_053913,core_cifar10_noniid_adaptive_scaling_proposed_s42,main,CIFAR10,Non-IID,adaptive_scaling,42,0.2,120,0.0,0.0,1.0,1.0,120,120,1.0,1200,1200,0.0,0.9885416666666667,0.3490960403725044,0.26354388213927665,-0.08555215823322776,0.0,0.0,0.0,0.011458333333333333
experiments_b_journal\core_cifar10_noniid_adaptive_scaling_proposed_s43_20260608_191335,core_cifar10_noniid_adaptive_scaling_proposed_s43,main,CIFAR10,Non-IID,adaptive_scaling,43,0.2,120,0.0,0.0,1.0,1.0,120,120,1.0,1200,1200,0.0,1.0,0.19370050662748994,0.34848709127588784,0.1547865846483979,0.0,0.0,0.0,0.0
experiments_b_journal\core_cifar10_noniid_adaptive_scaling_proposed_s44_20260609_085226,core_cifar10_noniid_adaptive_scaling_proposed_s44,main,CIFAR10,Non-IID,adaptive_scaling,44,0.2,120,0.0,0.0,1.0,1.0,120,120,1.0,1200,1200,0.0,1.0,0.11225868795494628,0.3525077576099821,0.2402490696550358,0.0,0.0,0.0,0.0
experiments_b_journal\core_cifar10_noniid_backdoor_proposed_s42_20260608_094139,core_cifar10_noniid_backdoor_proposed_s42,main,CIFAR10,Non-IID,backdoor,42,0.2,120,0.0,0.0,1.0,1.0,120,120,1.0,1200,1200,0.32083333333333336,0.9958333333333333,0.0165578979716848,0.3350210970394894,0.3184631990678046,0.39166666666666666,0.32083333333333336,0.3416666666666667,0.004166666666666667
experiments_b_journal\core_cifar10_noniid_backdoor_proposed_s43_20260608_225347,core_cifar10_noniid_backdoor_proposed_s43,main,CIFAR10,Non-IID,backdoor,43,0.2,120,0.0,0.0,1.0,1.0,120,120,1.0,1200,1200,0.6166666666666667,0.9177083333333333,0.0170781216422271,0.28349401401698,0.2664158923747529,0.5272222222222223,0.6166666666666667,0.5468253968253969,0.08229166666666667
experiments_b_journal\core_cifar10_noniid_backdoor_proposed_s44_20260609_123103,core_cifar10_noniid_backdoor_proposed_s44,main,CIFAR10,Non-IID,backdoor,44,0.2,120,0.0,0.0,1.0,1.0,120,120,1.0,1200,1200,0.6625,0.7791666666666667,0.009409331621990116,0.239073635663915,0.2296643040419249,0.43551587301587297,0.6625,0.48415343915343917,0.22083333333333333
experiments_b_journal\core_cifar10_noniid_sign_flip_proposed_s42_20260608_020850,core_cifar10_noniid_sign_flip_proposed_s42,main,CIFAR10,Non-IID,sign_flip,42,0.2,120,0.0,0.0,1.0,1.0,120,120,1.0,1200,1200,1.0,0.9572916666666667,0.0,0.289688468373622,0.289688468373622,0.9019444444444444,1.0,0.9380952380952381,0.042708333333333334
