dataset,iid,attack_type,aggregation,n,acc_mean,acc_std,best_acc_mean,asr_mean,asr_std,loss_mean,early_stop_count
CIFAR10,False,adaptive_scaling,fedavg,3,82.77,0.46,83.33,1.69,0.92,0.5003,0
CIFAR10,False,adaptive_scaling,krum,3,47.81,9.13,53.84,1.51,1.91,1.771,0
CIFAR10,False,adaptive_scaling,median,3,78.87,1.12,79.27,1.92,0.76,0.6085,0
CIFAR10,False,adaptive_scaling,norm_filter,3,81.45,0.75,81.71,1.69,1.27,0.5559,0
CIFAR10,False,adaptive_scaling,proposed,3,78.61,3.3,79.9,2.41,2.37,0.6582,0
CIFAR10,False,adaptive_scaling,trimmed_mean,3,80.67,0.45,80.87,1.95,0.36,0.5639,0
CIFAR10,False,backdoor,fedavg,3,71.6,4.76,71.67,7.97,5.02,0.8124,0
CIFAR10,False,backdoor,krum,3,40.33,9.62,49.87,5.93,4.38,2.5905,0
CIFAR10,False,backdoor,median,3,66.23,1.9,67.09,9.63,2.3,0.9712,0
CIFAR10,False,backdoor,norm_filter,3,77.88,2.44,78.89,2.53,2.28,0.6856,0
CIFAR10,False,backdoor,proposed,3,76.04,3.85,79.15,1.8,1.39,0.7435,0
CIFAR10,False,backdoor,trimmed_mean,3,73.28,1.49,73.97,7.36,2.16,0.7691,0
CIFAR10,False,sign_flip,fedavg,3,10.0,0.0,10.0,100.0,0.0,nan,0
CIFAR10,False,sign_flip,krum,3,41.06,12.14,50.96,2.82,2.47,1.9275,0
CIFAR10,False,sign_flip,median,3,62.83,4.58,63.43,6.46,2.03,1.1218,0
CIFAR10,False,sign_flip,norm_filter,3,77.62,2.69,78.17,2.71,1.93,0.6933,0
CIFAR10,False,sign_flip,proposed,3,74.91,2.67,75.93,3.17,2.28,0.7871,0
CIFAR10,False,sign_flip,trimmed_mean,3,65.67,3.36,67.14,6.49,4.04,1.1231,0
