run_dir,experiment_name,dataset,iid,alpha,aggregation,attack_type,malicious_ratio,num_rounds,final_clean_accuracy,best_clean_accuracy,final_test_loss,final_backdoor_asr,final_rejection_rate,final_tpr,final_fpr,final_f1,chain_valid,total_time
experiments_b_journal\ext_collusive_fashionmnist_noniid_fedavg_s42_20260614_142430,ext_collusive_fashionmnist_noniid_fedavg_s42,FashionMNIST,False,0.5,fedavg,collusive_direction,0.2,80,80.34,80.34,0.50292207736969,2.992194275802255,0.0,0.0,0.0,0.0,True,159.24156769999536
experiments_b_journal\ext_collusive_fashionmnist_noniid_fedavg_s43_20260614_142719,ext_collusive_fashionmnist_noniid_fedavg_s43,FashionMNIST,False,0.5,fedavg,collusive_direction,0.2,80,67.41,67.41,1.0212255336761475,2.6886383347788376,0.0,0.0,0.0,0.0,True,161.25315380000393
experiments_b_journal\ext_collusive_fashionmnist_noniid_fedavg_s44_20260614_143010,ext_collusive_fashionmnist_noniid_fedavg_s44,FashionMNIST,False,0.5,fedavg,collusive_direction,0.2,80,81.6,81.6,0.4839449316501617,2.7753686036426712,0.0,0.0,0.0,0.0,True,158.66787050000858
experiments_b_journal\ext_collusive_fashionmnist_noniid_fltrust_s42_20260614_144844,ext_collusive_fashionmnist_noniid_fltrust_s42,FashionMNIST,False,0.5,fltrust,collusive_direction,0.2,80,69.33,69.47,1.17472192363739,2.862098872506505,20.0,1.0,0.0,1.0,True,166.76490459998604
experiments_b_journal\ext_collusive_fashionmnist_noniid_fltrust_s43_20260614_145141,ext_collusive_fashionmnist_noniid_fltrust_s43,FashionMNIST,False,0.5,fltrust,collusive_direction,0.2,80,61.94,61.94,1.206505945777893,5.7675628794449265,20.0,1.0,0.0,1.0,True,165.15565639999113
experiments_b_journal\ext_collusive_fashionmnist_noniid_fltrust_s44_20260614_145436,ext_collusive_fashionmnist_noniid_fltrust_s44,FashionMNIST,False,0.5,fltrust,collusive_direction,0.2,80,62.76,62.76,1.0586542531967162,2.6452732003469213,20.0,1.0,0.0,1.0,True,164.64925759998732
experiments_b_journal\ext_collusive_fashionmnist_noniid_norm_filter_s42_20260614_143259,ext_collusive_fashionmnist_noniid_norm_filter_s42,FashionMNIST,False,0.5,norm_filter,collusive_direction,0.2,80,55.63,55.63,9.852278686523437,0.0,10.0,0.0,0.125,0.0,True,159.09937790001277
experiments_b_journal\ext_collusive_fashionmnist_noniid_norm_filter_s43_20260614_143548,ext_collusive_fashionmnist_noniid_norm_filter_s43,FashionMNIST,False,0.5,norm_filter,collusive_direction,0.2,80,68.88,68.88,1.2525999761581421,2.6452732003469213,10.0,0.0,0.125,0.0,True,134.01146589999553
experiments_b_journal\ext_collusive_fashionmnist_noniid_norm_filter_s44_20260614_143810,ext_collusive_fashionmnist_noniid_norm_filter_s44,FashionMNIST,False,0.5,norm_filter,collusive_direction,0.2,80,10.01,64.43,326944.3534,0.0,20.0,0.0,0.25,0.0,True,105.29377919997205
experiments_b_journal\ext_collusive_fashionmnist_noniid_proposed_s42_20260614_144004,ext_collusive_fashionmnist_noniid_proposed_s42,FashionMNIST,False,0.5,proposed,collusive_direction,0.2,80,84.28,84.62,0.4136189044713974,3.2523850823937552,20.0,1.0,0.0,1.0,True,166.47918900000514
experiments_b_journal\ext_collusive_fashionmnist_noniid_proposed_s43_20260614_144301,ext_collusive_fashionmnist_noniid_proposed_s43,FashionMNIST,False,0.5,proposed,collusive_direction,0.2,80,80.09,84.44,0.5161800548553467,1.6912402428447528,50.0,1.0,0.375,0.5714285714285715,True,163.564732800005
experiments_b_journal\ext_collusive_fashionmnist_noniid_proposed_s44_20260614_144554,ext_collusive_fashionmnist_noniid_proposed_s44,FashionMNIST,False,0.5,proposed,collusive_direction,0.2,80,83.66,84.31,0.4376597264289856,1.1274934952298352,20.0,1.0,0.0,1.0,True,160.41555830001016
experiments_b_journal\ext_flame_cifar10_iid_fedavg_s42_20260614_193356,ext_flame_cifar10_iid_fedavg_s42,CIFAR10,True,0.5,fedavg,backdoor,0.2,120,77.57,79.76,0.6635893184661865,7.4171029668411865,0.0,0.0,0.0,0.0,True,1923.331359600008
experiments_b_journal\ext_flame_cifar10_iid_fedavg_s43_20260614_200604,ext_flame_cifar10_iid_fedavg_s43,CIFAR10,True,0.5,fedavg,backdoor,0.2,120,80.79,80.79,0.5610479555130005,6.020942408376963,0.0,0.0,0.0,0.0,True,1908.1364359
experiments_b_journal\ext_flame_cifar10_iid_fedavg_s44_20260614_203756,ext_flame_cifar10_iid_fedavg_s44,CIFAR10,True,0.5,fedavg,backdoor,0.2,120,77.29,77.91,0.6721152513504028,5.846422338568935,0.0,0.0,0.0,0.0,True,1912.0637793999922
experiments_b_journal\ext_flame_cifar10_iid_flame_s42_20260615_100925,ext_flame_cifar10_iid_flame_s42,CIFAR10,True,0.5,flame,backdoor,0.2,120,70.38,71.47,0.862165879535675,8.638743455497382,0.0,0.0,0.0,0.0,True,2494.321084700001
experiments_b_journal\ext_flame_cifar10_iid_flame_s43_20260615_105104,ext_flame_cifar10_iid_flame_s43,CIFAR10,True,0.5,flame,backdoor,0.2,120,72.77,72.81,0.783249786567688,5.061082024432809,0.0,0.0,0.0,0.0,True,2395.124585999991
experiments_b_journal\ext_flame_cifar10_iid_flame_s44_20260615_113105,ext_flame_cifar10_iid_flame_s44,CIFAR10,True,0.5,flame,backdoor,0.2,120,68.46,68.46,0.8967896551132202,9.860383944153577,0.0,0.0,0.0,0.0,True,2511.266118600004
experiments_b_journal\ext_flame_cifar10_iid_fltrust_s42_20260614_224533,ext_flame_cifar10_iid_fltrust_s42,CIFAR10,True,0.5,fltrust,backdoor,0.2,120,10.0,14.0,8.916656268310547,100.0,80.0,0.0,1.0,0.0,True,2002.7525532
experiments_b_journal\ext_flame_cifar10_iid_fltrust_s43_20260614_231900,ext_flame_cifar10_iid_fltrust_s43,CIFAR10,True,0.5,fltrust,backdoor,0.2,120,10.0,14.17,8.637027059936523,100.0,90.0,0.5,1.0,0.1818181818181818,True,2179.545350900007
experiments_b_journal\ext_flame_cifar10_iid_fltrust_s44_20260614_235525,ext_flame_cifar10_iid_fltrust_s44,CIFAR10,True,0.5,fltrust,backdoor,0.2,120,51.93,51.93,1.3099864208221434,4.450261780104712,70.0,1.0,0.625,0.4444444444444445,True,2399.3017672999995
experiments_b_journal\ext_flame_cifar10_iid_norm_filter_s42_20260614_210952,ext_flame_cifar10_iid_norm_filter_s42,CIFAR10,True,0.5,norm_filter,backdoor,0.2,120,84.31,84.68,0.5016857307434082,1.3089005235602094,40.0,1.0,0.25,0.6666666666666666,True,1905.9307904000161
experiments_b_journal\ext_flame_cifar10_iid_norm_filter_s43_20260614_214143,ext_flame_cifar10_iid_norm_filter_s43,CIFAR10,True,0.5,norm_filter,backdoor,0.2,120,84.64,84.64,0.47637190046310424,1.3089005235602094,20.0,1.0,0.0,1.0,True,1912.2623293000215
