dataset,iid,attack_type,aggregation,n,acc_mean,acc_std,best_acc_mean,asr_mean,asr_std,loss_mean,early_stop_count
FashionMNIST,False,adaptive_scaling,fedavg,3,87.57,0.79,87.63,1.58,0.42,0.3339,0
FashionMNIST,False,adaptive_scaling,krum,3,71.61,7.84,72.24,1.21,0.68,0.7695,0
FashionMNIST,False,adaptive_scaling,median,3,84.5,2.08,84.63,1.65,0.3,0.4113,0
FashionMNIST,False,adaptive_scaling,norm_filter,3,84.32,2.78,85.18,1.86,1.56,0.4181,0
FashionMNIST,False,adaptive_scaling,proposed,3,85.21,0.72,85.5,2.01,1.27,0.3932,0
FashionMNIST,False,adaptive_scaling,trimmed_mean,3,86.12,0.99,86.19,1.81,0.3,0.375,0
FashionMNIST,False,backdoor,fedavg,3,84.96,1.56,84.96,89.32,9.32,0.4102,0
FashionMNIST,False,backdoor,krum,3,73.69,10.1,74.22,0.87,0.6,0.6975,0
FashionMNIST,False,backdoor,median,3,79.33,1.67,80.76,4.48,0.28,0.5296,0
FashionMNIST,False,backdoor,norm_filter,3,84.6,2.23,85.0,2.75,0.37,0.4062,0
FashionMNIST,False,backdoor,proposed,3,83.67,1.08,84.19,3.14,0.93,0.4258,0
FashionMNIST,False,backdoor,trimmed_mean,3,83.45,0.87,83.7,5.15,0.2,0.4445,0
FashionMNIST,False,sign_flip,fedavg,3,10.0,0.0,14.76,0.0,0.0,5308175.8729,0
FashionMNIST,False,sign_flip,krum,3,72.1,8.09,72.91,1.01,0.55,0.7463,0
FashionMNIST,False,sign_flip,median,3,77.42,2.95,78.58,2.62,1.38,0.5702,0
FashionMNIST,False,sign_flip,norm_filter,3,84.89,1.82,85.24,2.47,0.38,0.3992,0
FashionMNIST,False,sign_flip,proposed,3,84.27,1.91,84.61,2.25,1.44,0.422,0
FashionMNIST,False,sign_flip,trimmed_mean,3,81.1,2.25,81.69,2.36,1.44,0.4956,0
FashionMNIST,True,adaptive_scaling,fedavg,3,88.35,0.32,88.46,1.55,0.3,0.3189,0
FashionMNIST,True,adaptive_scaling,krum,3,87.34,0.22,87.48,1.95,0.27,0.3459,0
FashionMNIST,True,adaptive_scaling,median,3,88.04,0.3,88.22,1.59,0.39,0.3279,0
FashionMNIST,True,adaptive_scaling,norm_filter,3,88.37,0.42,88.52,1.58,0.33,0.3188,0
FashionMNIST,True,adaptive_scaling,proposed,3,88.27,0.26,88.41,1.43,0.46,0.3196,0
FashionMNIST,True,adaptive_scaling,trimmed_mean,3,88.29,0.32,88.39,1.68,0.43,0.3203,0
FashionMNIST,True,backdoor,fedavg,3,84.96,0.37,85.0,74.17,4.43,0.4046,0
FashionMNIST,True,backdoor,krum,3,86.99,0.43,87.32,1.86,0.3,0.359,0
FashionMNIST,True,backdoor,median,3,86.54,0.59,86.97,3.21,0.47,0.3566,0
FashionMNIST,True,backdoor,norm_filter,3,88.27,0.38,88.39,1.56,0.26,0.3212,0
FashionMNIST,True,backdoor,proposed,3,88.32,0.29,88.4,1.56,0.34,0.3212,0
FashionMNIST,True,backdoor,trimmed_mean,3,86.42,0.35,86.81,3.86,0.26,0.3601,0
FashionMNIST,True,sign_flip,fedavg,3,10.0,0.0,10.0,0.0,0.0,564.6023,0
FashionMNIST,True,sign_flip,krum,3,87.27,0.11,87.46,1.95,0.27,0.3503,0
FashionMNIST,True,sign_flip,median,3,87.02,0.3,87.25,1.94,0.53,0.3609,0
FashionMNIST,True,sign_flip,norm_filter,3,88.31,0.31,88.41,1.6,0.41,0.3214,0
FashionMNIST,True,sign_flip,proposed,3,88.33,0.35,88.41,1.58,0.33,0.3214,0
FashionMNIST,True,sign_flip,trimmed_mean,3,87.19,0.47,87.33,1.94,0.35,0.351,0
