dataset,iid,attack_type,aggregation,n,acc_mean,acc_std,best_acc_mean,asr_mean,asr_std,loss_mean,early_stop_count
CIFAR10,False,backdoor,fedavg,3,71.41,5.68,72.07,7.97,5.72,0.8227,0
CIFAR10,False,backdoor,flame,3,29.98,20.09,56.44,69.28,31.62,2.8468,0
CIFAR10,False,backdoor,fltrust,3,36.49,7.56,36.6,16.11,8.92,1.7213,0
CIFAR10,False,backdoor,norm_filter,3,78.92,1.19,80.05,2.71,0.89,0.6411,0
CIFAR10,False,backdoor,proposed,3,77.38,0.63,78.74,2.88,2.46,0.6702,0
CIFAR10,True,backdoor,fedavg,3,78.55,1.94,79.49,6.43,0.86,0.6323,0
CIFAR10,True,backdoor,flame,3,70.54,2.16,70.91,7.85,2.49,0.8474,0
CIFAR10,True,backdoor,fltrust,3,23.98,24.21,26.7,68.15,55.17,6.2879,0
CIFAR10,True,backdoor,norm_filter,3,84.43,0.19,84.71,1.22,0.15,0.4905,0
CIFAR10,True,backdoor,proposed,3,83.5,0.89,84.19,1.22,0.45,0.5463,0
FashionMNIST,False,backdoor,fedavg,3,84.93,1.64,84.93,90.27,8.52,0.4115,0
FashionMNIST,False,backdoor,flame,3,80.47,2.98,82.2,14.05,4.65,0.5469,0
FashionMNIST,False,backdoor,fltrust,3,64.37,4.36,64.4,4.24,1.63,1.1696,0
FashionMNIST,False,backdoor,norm_filter,3,84.59,2.22,85.04,2.78,0.37,0.4069,0
FashionMNIST,False,backdoor,proposed,3,83.63,0.95,84.21,3.17,0.91,0.427,0
FashionMNIST,True,backdoor,fedavg,3,85.13,0.38,85.18,73.56,3.9,0.399,0
FashionMNIST,True,backdoor,flame,3,78.44,5.0,82.55,7.2,2.48,0.586,0
FashionMNIST,True,backdoor,fltrust,3,72.74,0.56,72.83,4.21,0.81,0.8101,0
FashionMNIST,True,backdoor,norm_filter,3,88.36,0.41,88.39,1.58,0.29,0.3202,0
FashionMNIST,True,backdoor,proposed,3,88.33,0.3,88.39,1.52,0.31,0.3215,0
