run_dir,experiment_name,dataset,iid,alpha,aggregation,attack_type,malicious_ratio,num_rounds,final_clean_accuracy,best_clean_accuracy,final_test_loss,final_backdoor_asr,final_rejection_rate,final_tpr,final_fpr,final_f1,chain_valid,total_time
experiments_b_journal\core_cifar10_iid_adaptive_scaling_fedavg_s42_20260607_160712,core_cifar10_iid_adaptive_scaling_fedavg_s42,CIFAR10,True,0.5,fedavg,adaptive_scaling,0.2,120,84.87,85.52,0.4599057536125183,1.3089005235602094,0.0,0.0,0.0,0.0,True,2795.674254600017
experiments_b_journal\core_cifar10_iid_adaptive_scaling_krum_s42_20260607_165353,core_cifar10_iid_adaptive_scaling_krum_s42,CIFAR10,True,0.5,krum,adaptive_scaling,0.2,120,74.57,75.68,1.20701506357193,4.537521815008726,90.0,1.0,0.875,0.3636363636363636,True,2954.9162335
experiments_b_journal\core_cifar10_iid_adaptive_scaling_median_s42_20260607_183303,core_cifar10_iid_adaptive_scaling_median_s42,CIFAR10,True,0.5,median,adaptive_scaling,0.2,120,84.8,85.02,0.4540857197761536,1.3089005235602094,0.0,0.0,0.0,0.0,True,3027.4798901000177
experiments_b_journal\core_cifar10_iid_adaptive_scaling_norm_filter_s42_20260607_192338,core_cifar10_iid_adaptive_scaling_norm_filter_s42,CIFAR10,True,0.5,norm_filter,adaptive_scaling,0.2,120,84.48,85.34,0.48614833245277406,1.0471204188481675,30.0,0.0,0.375,0.0,True,2390.5660510000307
experiments_b_journal\core_cifar10_iid_adaptive_scaling_proposed_s42_20260607_200333,core_cifar10_iid_adaptive_scaling_proposed_s42,CIFAR10,True,0.5,proposed,adaptive_scaling,0.2,120,84.05,84.54,0.5025951871395111,1.2216404886561956,0.0,0.0,0.0,0.0,True,1988.199446099985
experiments_b_journal\core_cifar10_iid_adaptive_scaling_trimmed_mean_s42_20260607_174315,core_cifar10_iid_adaptive_scaling_trimmed_mean_s42,CIFAR10,True,0.5,trimmed_mean,adaptive_scaling,0.2,120,85.01,85.37,0.4597860137462616,1.2216404886561956,0.0,0.0,0.0,0.0,True,2982.2990036000265
experiments_b_journal\core_cifar10_iid_backdoor_fedavg_s42_20260607_203646,core_cifar10_iid_backdoor_fedavg_s42,CIFAR10,True,0.5,fedavg,backdoor,0.2,120,77.97,78.85,0.6599460037231445,7.0680628272251305,0.0,0.0,0.0,0.0,True,1948.7754101000028
experiments_b_journal\core_cifar10_iid_backdoor_krum_s42_20260607_210919,core_cifar10_iid_backdoor_krum_s42,CIFAR10,True,0.5,krum,backdoor,0.2,120,73.95,76.14,1.1315290391921997,3.7521815008726005,90.0,1.0,0.875,0.3636363636363636,True,1948.8674428000231
experiments_b_journal\core_cifar10_iid_backdoor_median_s42_20260607_221421,core_cifar10_iid_backdoor_median_s42,CIFAR10,True,0.5,median,backdoor,0.2,120,76.46,77.99,0.6975043235778808,4.799301919720768,0.0,0.0,0.0,0.0,True,1940.5142968000146
experiments_b_journal\core_cifar10_iid_backdoor_norm_filter_s42_20260607_224646,core_cifar10_iid_backdoor_norm_filter_s42,CIFAR10,True,0.5,norm_filter,backdoor,0.2,120,84.26,84.82,0.4945611661911011,1.4834205933682374,20.0,1.0,0.0,1.0,True,1950.5660456999904
