dataset,iid,attack_type,aggregation,n,acc_mean,acc_std,best_acc_mean,asr_mean,asr_std,loss_mean,early_stop_count
FashionMNIST,False,adaptive_scaling,norm_filter,3,84.32,2.78,85.18,1.86,1.56,0.4181,0
FashionMNIST,False,adaptive_scaling,proposed,3,85.21,0.72,85.5,2.01,1.27,0.3932,0
FashionMNIST,False,backdoor,norm_filter,3,84.6,2.23,85.0,2.75,0.37,0.4062,0
FashionMNIST,False,backdoor,proposed,3,83.67,1.08,84.19,3.14,0.93,0.4258,0
FashionMNIST,False,sign_flip,norm_filter,3,84.89,1.82,85.24,2.47,0.38,0.3992,0
FashionMNIST,False,sign_flip,proposed,3,84.27,1.91,84.61,2.25,1.44,0.422,0
FashionMNIST,True,adaptive_scaling,norm_filter,3,88.37,0.42,88.52,1.58,0.33,0.3188,0
FashionMNIST,True,adaptive_scaling,proposed,3,88.27,0.26,88.41,1.43,0.46,0.3196,0
FashionMNIST,True,backdoor,norm_filter,3,88.27,0.38,88.39,1.56,0.26,0.3212,0
FashionMNIST,True,backdoor,proposed,3,88.32,0.29,88.4,1.56,0.34,0.3212,0
FashionMNIST,True,sign_flip,norm_filter,3,88.31,0.31,88.41,1.6,0.41,0.3214,0
FashionMNIST,True,sign_flip,proposed,3,88.33,0.35,88.41,1.58,0.33,0.3214,0
CIFAR10,False,adaptive_scaling,norm_filter,3,81.45,0.75,81.71,1.69,1.27,0.5559,0
CIFAR10,False,adaptive_scaling,proposed,3,78.61,3.3,79.9,2.41,2.37,0.6582,0
CIFAR10,False,backdoor,norm_filter,3,77.88,2.44,78.89,2.53,2.28,0.6856,0
CIFAR10,False,backdoor,proposed,3,76.04,3.85,79.15,1.8,1.39,0.7435,0
CIFAR10,False,sign_flip,norm_filter,3,77.62,2.69,78.17,2.71,1.93,0.6933,0
CIFAR10,False,sign_flip,proposed,3,74.91,2.67,75.93,3.17,2.28,0.7871,0
