run_dir,experiment_name,dataset,iid,alpha,aggregation,attack_type,malicious_ratio,num_rounds,final_clean_accuracy,best_clean_accuracy,final_test_loss,final_backdoor_asr,final_rejection_rate,final_tpr,final_fpr,final_f1,chain_valid,total_time
experiments_b_journal\sensitivity_fashionmnist_noniid_adaptive_scaling_balanced_s42_20260615_204401,sensitivity_fashionmnist_noniid_adaptive_scaling_balanced_s42,FashionMNIST,False,0.5,proposed,adaptive_scaling,0.2,80,85.84,85.87,0.373027437710762,3.165654813529922,0.0,0.0,0.0,0.0,True,95.8689744999865
experiments_b_journal\sensitivity_fashionmnist_noniid_adaptive_scaling_balanced_s43_20260615_204542,sensitivity_fashionmnist_noniid_adaptive_scaling_balanced_s43,FashionMNIST,False,0.5,proposed,adaptive_scaling,0.2,80,85.03,85.75,0.384841512966156,1.3876843018213356,0.0,0.0,0.0,0.0,True,96.83380980000948
experiments_b_journal\sensitivity_fashionmnist_noniid_adaptive_scaling_balanced_s44_20260615_204725,sensitivity_fashionmnist_noniid_adaptive_scaling_balanced_s44,FashionMNIST,False,0.5,proposed,adaptive_scaling,0.2,80,86.57,86.81,0.373839741563797,1.4744145706851692,0.0,0.0,0.0,0.0,True,94.32053799999994
experiments_b_journal\sensitivity_fashionmnist_noniid_adaptive_scaling_default_s42_20260615_202342,sensitivity_fashionmnist_noniid_adaptive_scaling_default_s42,FashionMNIST,False,0.5,proposed,adaptive_scaling,0.2,80,85.06,85.11,0.38987522730827334,3.339115351257589,0.0,0.0,0.0,0.0,True,96.26487889999407
experiments_b_journal\sensitivity_fashionmnist_noniid_adaptive_scaling_default_s43_20260615_202524,sensitivity_fashionmnist_noniid_adaptive_scaling_default_s43,FashionMNIST,False,0.5,proposed,adaptive_scaling,0.2,80,84.59,84.85,0.39870799090862274,1.3009540329575022,0.0,0.0,0.0,0.0,True,97.04513340000995
experiments_b_journal\sensitivity_fashionmnist_noniid_adaptive_scaling_default_s44_20260615_202707,sensitivity_fashionmnist_noniid_adaptive_scaling_default_s44,FashionMNIST,False,0.5,proposed,adaptive_scaling,0.2,80,85.93,86.31,0.39058802483081817,1.3443191673894188,0.0,0.0,0.0,0.0,True,94.18470969999908
experiments_b_journal\sensitivity_fashionmnist_noniid_adaptive_scaling_direction_heavy_s42_20260615_203352,sensitivity_fashionmnist_noniid_adaptive_scaling_direction_heavy_s42,FashionMNIST,False,0.5,proposed,adaptive_scaling,0.2,80,86.42,86.42,0.35872278468608854,3.0355594102341716,0.0,0.0,0.0,0.0,True,96.87169410000206
experiments_b_journal\sensitivity_fashionmnist_noniid_adaptive_scaling_direction_heavy_s43_20260615_203535,sensitivity_fashionmnist_noniid_adaptive_scaling_direction_heavy_s43,FashionMNIST,False,0.5,proposed,adaptive_scaling,0.2,80,85.25,86.42,0.37833224370479585,1.3876843018213356,0.0,0.0,0.0,0.0,True,96.26194479997503
experiments_b_journal\sensitivity_fashionmnist_noniid_adaptive_scaling_direction_heavy_s44_20260615_203717,sensitivity_fashionmnist_noniid_adaptive_scaling_direction_heavy_s44,FashionMNIST,False,0.5,proposed,adaptive_scaling,0.2,80,87.24,87.24,0.35965249552726747,1.4310494362532524,0.0,0.0,0.0,0.0,True,94.41724049998447
experiments_b_journal\sensitivity_fashionmnist_noniid_adaptive_scaling_history_heavy_s42_20260615_203857,sensitivity_fashionmnist_noniid_adaptive_scaling_history_heavy_s42,FashionMNIST,False,0.5,proposed,adaptive_scaling,0.2,80,85.45,85.45,0.3806371730327606,3.339115351257589,0.0,0.0,0.0,0.0,True,95.77140539998072
experiments_b_journal\sensitivity_fashionmnist_noniid_adaptive_scaling_history_heavy_s43_20260615_204038,sensitivity_fashionmnist_noniid_adaptive_scaling_history_heavy_s43,FashionMNIST,False,0.5,proposed,adaptive_scaling,0.2,80,85.02,85.43,0.3877390166044235,1.3009540329575022,0.0,0.0,0.0,0.0,True,96.7736356999958
experiments_b_journal\sensitivity_fashionmnist_noniid_adaptive_scaling_history_heavy_s44_20260615_204221,sensitivity_fashionmnist_noniid_adaptive_scaling_history_heavy_s44,FashionMNIST,False,0.5,proposed,adaptive_scaling,0.2,80,86.45,86.55,0.3792358280658722,1.5611448395490026,0.0,0.0,0.0,0.0,True,94.05212530001882
experiments_b_journal\sensitivity_fashionmnist_noniid_adaptive_scaling_norm_heavy_s42_20260615_202847,sensitivity_fashionmnist_noniid_adaptive_scaling_norm_heavy_s42,FashionMNIST,False,0.5,proposed,adaptive_scaling,0.2,80,84.28,84.28,0.40949847507476805,3.2523850823937552,0.0,0.0,0.0,0.0,True,96.38240249999217
experiments_b_journal\sensitivity_fashionmnist_noniid_adaptive_scaling_norm_heavy_s43_20260615_203029,sensitivity_fashionmnist_noniid_adaptive_scaling_norm_heavy_s43,FashionMNIST,False,0.5,proposed,adaptive_scaling,0.2,80,79.68,79.76,0.548680134677887,1.5177797051170858,0.0,0.0,0.0,0.0,True,96.66821900001378
experiments_b_journal\sensitivity_fashionmnist_noniid_adaptive_scaling_norm_heavy_s44_20260615_203211,sensitivity_fashionmnist_noniid_adaptive_scaling_norm_heavy_s44,FashionMNIST,False,0.5,proposed,adaptive_scaling,0.2,80,85.15,85.58,0.4060547315120697,1.3009540329575022,0.0,0.0,0.0,0.0,True,95.20915629999945
experiments_b_journal\sensitivity_fashionmnist_noniid_sign_flip_balanced_s42_20260615_201836,sensitivity_fashionmnist_noniid_sign_flip_balanced_s42,FashionMNIST,False,0.5,proposed,sign_flip,0.2,80,86.45,86.53,0.3650178111553192,1.170858629661752,30.0,1.0,0.125,0.8,True,96.55772490001982
experiments_b_journal\sensitivity_fashionmnist_noniid_sign_flip_balanced_s43_20260615_202018,sensitivity_fashionmnist_noniid_sign_flip_balanced_s43,FashionMNIST,False,0.5,proposed,sign_flip,0.2,80,84.13,84.13,0.43028863401412965,3.9462272333044233,20.0,1.0,0.0,1.0,True,97.17013660000521
experiments_b_journal\sensitivity_fashionmnist_noniid_sign_flip_balanced_s44_20260615_202201,sensitivity_fashionmnist_noniid_sign_flip_balanced_s44,FashionMNIST,False,0.5,proposed,sign_flip,0.2,80,83.35,83.89,0.43909577436447145,1.9514310494362532,30.0,1.0,0.125,0.8,True,95.05698480000137
experiments_b_journal\sensitivity_fashionmnist_noniid_sign_flip_default_s42_20260615_195807,sensitivity_fashionmnist_noniid_sign_flip_default_s42,FashionMNIST,False,0.5,proposed,sign_flip,0.2,80,86.32,86.4,0.3698805308818817,1.0841283607979184,30.0,1.0,0.125,0.8,True,104.91164310000022
experiments_b_journal\sensitivity_fashionmnist_noniid_sign_flip_default_s43_20260615_195957,sensitivity_fashionmnist_noniid_sign_flip_default_s43,FashionMNIST,False,0.5,proposed,sign_flip,0.2,80,82.63,83.37,0.46314899158477785,3.9028620988725065,30.0,1.0,0.125,0.8,True,96.48300750000635
experiments_b_journal\sensitivity_fashionmnist_noniid_sign_flip_default_s44_20260615_200140,sensitivity_fashionmnist_noniid_sign_flip_default_s44,FashionMNIST,False,0.5,proposed,sign_flip,0.2,80,83.35,83.88,0.43782929077148436,1.7779705117085862,30.0,1.0,0.125,0.8,True,94.9430462999735
experiments_b_journal\sensitivity_fashionmnist_noniid_sign_flip_direction_heavy_s42_20260615_200826,sensitivity_fashionmnist_noniid_sign_flip_direction_heavy_s42,FashionMNIST,False,0.5,proposed,sign_flip,0.2,80,86.56,86.68,0.36008267319202425,1.0841283607979184,30.0,1.0,0.125,0.8,True,96.59174140001414
