synthetic_clients,validator_count,threshold,proposal_type,byzantine_validators,dropout_rate,bandwidth_mbps,rtt_ms,trials,valid_finalization_rate,invalid_rejection_rate,invalid_acceptance_rate,timeout_rate,mean_finality_ms,p95_finality_ms,mean_available_validators,mean_messages_per_round,mean_committee_kb_per_round
10,5,3,valid,0,0.0,10.0,10.0,500,1.0,0.0,0.0,0.0,20.96221501292432,22.200585768339533,5,6,64.34358723958333
10,5,3,invalid,0,0.0,10.0,10.0,500,0.0,1.0,0.0,0.0,20.92117072538266,22.333413733463594,5,6,64.34358723958333
10,5,3,valid,2,0.0,10.0,10.0,500,1.0,0.0,0.0,0.0,20.958160528710742,22.16380649527516,5,6,64.34358723958333
10,5,3,invalid,2,0.0,10.0,10.0,500,0.0,1.0,0.0,0.0,21.94377046144585,22.866863499242676,5,6,64.34358723958333
10,5,3,valid,3,0.0,10.0,10.0,500,1.0,0.0,0.0,0.0,20.95101371198152,22.206494523273598,5,6,64.34358723958333
10,5,3,invalid,3,0.0,10.0,10.0,500,0.0,0.0,1.0,0.0,21.979644544468588,22.91023697729333,5,6,64.34358723958333
10,5,3,valid,0,0.1,10.0,10.0,500,0.992,0.0,0.0,0.008,37.030309130583376,22.519951675667112,4.5,5.5,57.909228515624996
10,5,3,invalid,0,0.1,10.0,10.0,500,0.0,0.992,0.0,0.008,36.9777910447145,22.509413178872904,4.502,5.502,57.934965950520834
10,5,3,valid,2,0.1,10.0,10.0,500,0.992,0.0,0.0,0.008,36.954169813134044,22.553677225393486,4.542,5.542,58.4497146484375
10,5,3,invalid,2,0.1,10.0,10.0,500,0.0,0.77,0.0,0.23,476.8829701144263,2000.0,4.552,5.552,58.57840182291667
10,5,3,valid,3,0.1,10.0,10.0,500,0.996,0.0,0.0,0.004,29.082258962266465,22.539002475139583,4.536,5.536,58.37250234375
10,5,3,invalid,3,0.1,10.0,10.0,500,0.0,0.0,0.69,0.31,635.1519600212,2000.0,4.47,5.47,57.5231669921875
10,5,3,valid,0,0.2,10.0,10.0,500,0.932,0.0,0.0,0.068,155.83865061080118,2000.0,3.936,4.936,50.651271875
10,5,3,invalid,0,0.2,10.0,10.0,500,0.0,0.942,0.0,0.058,136.08270733352288,2000.0,4.012,5.012,51.62929440104167
10,5,3,valid,2,0.2,10.0,10.0,500,0.94,0.0,0.0,0.06,140.0754919022999,2000.0,3.92,4.92,50.44537239583333
10,5,3,invalid,2,0.2,10.0,10.0,500,0.0,0.524,0.0,0.476,963.4963105607575,2000.0,4.014,5.014,51.6550318359375
10,5,3,valid,3,0.2,10.0,10.0,500,0.948,0.0,0.0,0.052,124.2612247158862,2000.0,3.994,4.994,51.39765748697917
10,5,3,invalid,3,0.2,10.0,10.0,500,0.0,0.0,0.492,0.508,1026.8303254109421,2000.0,3.986,4.986,51.29470774739583
10,5,3,valid,0,0.4,10.0,10.0,500,0.692,0.0,0.0,0.308,630.9594502811964,2000.0,2.98,3.98,38.34877799479167
10,5,3,invalid,0,0.4,10.0,10.0,500,0.0,0.688,0.0,0.312,638.8548719659484,2000.0,3.046,4.046,39.19811334635417
10,5,3,valid,2,0.4,10.0,10.0,500,0.684,0.0,0.0,0.316,646.7574450275115,2000.0,2.998,3.998,38.580414908854166
10,5,3,invalid,2,0.4,10.0,10.0,500,0.0,0.198,0.0,0.802,1608.3657115820674,2000.0,2.992,3.992,38.50320260416667
10,5,3,valid,3,0.4,10.0,10.0,500,0.668,0.0,0.0,0.332,678.4921119266666,2000.0,2.948,3.948,37.93697903645833
10,5,3,invalid,3,0.4,10.0,10.0,500,0.0,0.0,0.226,0.774,1552.9660637599472,2000.0,2.984,3.984,38.40025286458334
10,5,3,valid,0,0.0,10.0,50.0,500,1.0,0.0,0.0,0.0,61.0566376048213,66.89724094784725,5,6,64.34358723958333
10,5,3,invalid,0,0.0,10.0,50.0,500,0.0,1.0,0.0,0.0,61.07076881895098,67.14172293727796,5,6,64.34358723958333
10,5,3,valid,2,0.0,10.0,50.0,500,1.0,0.0,0.0,0.0,60.89375808078343,67.22670997699763,5,6,64.34358723958333
10,5,3,invalid,2,0.0,10.0,50.0,500,0.0,1.0,0.0,0.0,66.07287377330294,70.6091272831319,5,6,64.34358723958333
10,5,3,valid,3,0.0,10.0,50.0,500,1.0,0.0,0.0,0.0,60.90399870208066,66.58546006818557,5,6,64.34358723958333
10,5,3,invalid,3,0.0,10.0,50.0,500,0.0,0.0,1.0,0.0,66.1264695123765,70.59098314871727,5,6,64.34358723958333
10,5,3,valid,0,0.1,10.0,50.0,500,0.982,0.0,0.0,0.018,96.83432707894028,69.24563668969556,4.532,5.532,58.32102747395833
10,5,3,invalid,0,0.1,10.0,50.0,500,0.0,0.996,0.0,0.004,69.73305714783716,68.56789651476001,4.512,5.512,58.063653125
10,5,3,valid,2,0.1,10.0,50.0,500,0.986,0.0,0.0,0.014,89.319109200841,69.29516394861851,4.434,5.434,57.0598931640625
10,5,3,invalid,2,0.1,10.0,50.0,500,0.0,0.748,0.0,0.252,553.6244268895417,2000.0,4.514,5.514,58.08939055989583
10,5,3,valid,3,0.1,10.0,50.0,500,0.978,0.0,0.0,0.022,104.29845075940837,69.56160576428817,4.43,5.43,57.00841829427083
10,5,3,invalid,3,0.1,10.0,50.0,500,0.0,0.0,0.764,0.236,522.2998026664626,2000.0,4.506,5.506,57.986440820312495
10,5,3,valid,0,0.2,10.0,50.0,500,0.94,0.0,0.0,0.06,178.78362796813516,2000.0,3.986,4.986,51.29470774739583
10,5,3,invalid,0,0.2,10.0,50.0,500,0.0,0.946,0.0,0.054,167.69605966721818,2000.0,3.978,4.978,51.1917580078125
10,5,3,valid,2,0.2,10.0,50.0,500,0.938,0.0,0.0,0.062,182.6220201464603,2000.0,4.04,5.04,51.989618489583336
10,5,3,invalid,2,0.2,10.0,50.0,500,0.0,0.55,0.0,0.45,936.3951845237845,2000.0,4.05,5.05,52.118305664062504
10,5,3,valid,3,0.2,10.0,50.0,500,0.95,0.0,0.0,0.05,159.64775046382346,70.92043135108153,4.004,5.004,51.52634466145833
10,5,3,invalid,3,0.2,10.0,50.0,500,0.0,0.0,0.48,0.52,1071.6865761985675,2000.0,3.898,4.898,50.16226061197917
10,5,3,valid,0,0.4,10.0,50.0,500,0.682,0.0,0.0,0.318,680.0267270166509,2000.0,3.014,4.014,38.786314388020834
10,5,3,invalid,0,0.4,10.0,50.0,500,0.0,0.696,0.0,0.304,652.7617673190819,2000.0,3.028,4.028,38.96647643229167
10,5,3,valid,2,0.4,10.0,50.0,500,0.662,0.0,0.0,0.338,718.6682895451726,2000.0,3.008,4.008,38.709102083333335
10,5,3,invalid,2,0.4,10.0,50.0,500,0.0,0.214,0.0,0.786,1586.1256463485918,2000.0,2.98,3.98,38.34877799479167
10,5,3,valid,3,0.4,10.0,50.0,500,0.668,0.0,0.0,0.332,707.1177828589156,2000.0,2.974,3.974,38.27156569010417
10,5,3,invalid,3,0.4,10.0,50.0,500,0.0,0.0,0.206,0.794,1601.670087349669,2000.0,2.944,3.944,37.88550416666667
10,5,3,valid,0,0.0,10.0,100.0,500,1.0,0.0,0.0,0.0,111.1435872932539,123.72660177966608,5,6,64.34358723958333
10,5,3,invalid,0,0.0,10.0,100.0,500,0.0,1.0,0.0,0.0,110.95682538663584,123.78296437064719,5,6,64.34358723958333
10,5,3,valid,2,0.0,10.0,100.0,500,1.0,0.0,0.0,0.0,110.56820826762899,122.9525421795037,5,6,64.34358723958333
10,5,3,invalid,2,0.0,10.0,100.0,500,0.0,1.0,0.0,0.0,120.87063631880119,130.3632484924815,5,6,64.34358723958333
10,5,3,valid,3,0.0,10.0,100.0,500,1.0,0.0,0.0,0.0,111.0347565352328,123.26460683071213,5,6,64.34358723958333
