synthetic_clients,validator_count,threshold,runs,blocks,valid_block_finalization_rate,invalid_block_rejection_rate,mean_valid_verification_time_ms,std_valid_verification_time_ms,mean_invalid_verification_time_ms,std_invalid_verification_time_ms,mean_proposal_bytes,std_proposal_bytes,mean_payload_bytes,mean_evidence_bytes,std_evidence_bytes,mean_commitment_bytes,mean_finalized_record_bytes,std_finalized_record_bytes,aggregator_to_committee_bytes_per_round,threshold_signature_record_bytes
10,3,2,5,50,1.0,1.0,1.2423279992071912,0.019321765840344556,1.2097219994757324,0.03229114442317935,12846.2,193.4322641555088,5824.34,3583.96,94.33590871703832,2935.0,758.1,0.30304576336566325,38538.600000000006,758.1
10,5,3,5,50,1.0,1.0,2.0476699946448207,0.022054647317080612,2.009328001877293,0.0358502783964773,12846.2,193.4322641555088,5824.34,3583.96,94.33590871703832,2935.0,994.1,0.30304576336566325,64231.0,994.1
10,7,4,5,50,1.0,1.0,2.8656079986831173,0.0369523926085106,2.810695997904986,0.05470383991557698,12846.2,193.4322641555088,5824.34,3583.96,94.33590871703832,2935.0,1230.1,0.30304576336566325,89923.40000000001,1230.1
10,9,6,5,50,1.0,1.0,3.6730879987590015,0.056969430027643916,3.594074002467096,0.06528206745875118,12846.2,193.4322641555088,5824.34,3583.96,94.33590871703832,2935.0,1466.1,0.30304576336566325,115615.8,1466.1
10,11,7,5,50,1.0,1.0,4.533817999763414,0.10303923051223386,4.431663998984732,0.188373820893932,12846.2,193.4322641555088,5824.34,3583.96,94.33590871703832,2935.0,1703.1,0.30304576336566325,141308.2,1703.1
20,3,2,5,50,1.0,1.0,2.342191999196075,0.12122303961208866,2.2657880024053156,0.040206973911996575,24203.32,385.60138241770994,11087.5,6756.92,188.67181743407664,5856.0,758.1,0.30304576336566325,72609.95999999999,758.1
20,5,3,5,50,1.0,1.0,3.8778479996835813,0.05298261962443067,3.7959959998261184,0.06600064206615339,24203.32,385.60138241770994,11087.5,6756.92,188.67181743407664,5856.0,994.1,0.30304576336566325,121016.6,994.1
20,7,4,5,50,1.0,1.0,5.3979120013536885,0.10664087890875121,5.263689996791072,0.08297699619422655,24203.32,385.60138241770994,11087.5,6756.92,188.67181743407664,5856.0,1230.1,0.30304576336566325,169423.24,1230.1
20,9,6,5,50,1.0,1.0,6.925484000239521,0.17618261280194883,6.762850000523031,0.11200517721798849,24203.32,385.60138241770994,11087.5,6756.92,188.67181743407664,5856.0,1466.1,0.30304576336566325,217829.88,1466.1
20,11,7,5,50,1.0,1.0,8.43999000149779,0.10733337675448432,8.256092001101933,0.11099305044671508,24203.32,385.60138241770994,11087.5,6756.92,188.67181743407664,5856.0,1703.1,0.30304576336566325,266236.52,1703.1
50,3,2,5,50,1.0,1.0,5.495618001441471,0.10024124288393761,5.340383997536264,0.10499161986682982,58274.68,962.2942491986619,26876.98,16275.8,471.67954358519165,14619.0,758.1,0.30304576336566325,174824.04,758.1
50,5,3,5,50,1.0,1.0,9.122044000541791,0.12770215075256536,8.915077998535708,0.1285994318890973,58274.68,962.2942491986619,26876.98,16275.8,471.67954358519165,14619.0,994.1,0.30304576336566325,291373.4,994.1
50,7,4,5,50,1.0,1.0,12.753159998683259,0.208571092859945,12.495589998434298,0.2532242888399177,58274.68,962.2942491986619,26876.98,16275.8,471.67954358519165,14619.0,1230.1,0.30304576336566325,407922.76,1230.1
50,9,6,5,50,1.0,1.0,16.43914800195489,0.3829812710171244,16.09147799841594,0.24211009169473355,58274.68,962.2942491986619,26876.98,16275.8,471.67954358519165,14619.0,1466.1,0.30304576336566325,524472.12,1466.1
50,11,7,5,50,1.0,1.0,20.054360000649467,0.30051500721176505,19.62900400045328,0.2984733438537479,58274.68,962.2942491986619,26876.98,16275.8,471.67954358519165,14619.0,1703.1,0.30304576336566325,641021.48,1703.1
100,3,2,5,50,1.0,1.0,10.807361999177374,0.1486690620292395,10.659597999765538,0.3445138160232355,115060.28,1923.5112031312499,53192.78,32140.6,943.3590871703833,29224.0,758.1,0.30304576336566325,345180.83999999997,758.1
100,5,3,5,50,1.0,1.0,18.044737998279743,0.44399315755904567,17.64513000031002,0.30927973685275273,115060.28,1923.5112031312499,53192.78,32140.6,943.3590871703833,29224.0,994.1,0.30304576336566325,575301.4,994.1
100,7,4,5,50,1.0,1.0,25.076882001012564,0.3600071192447404,24.552376001956873,0.3645281054006663,115060.28,1923.5112031312499,53192.78,32140.6,943.3590871703833,29224.0,1230.1,0.30304576336566325,805421.96,1230.1
100,9,6,5,50,1.0,1.0,32.28700999927241,0.5894347132049732,31.625301995081827,0.5401864069000967,115060.28,1923.5112031312499,53192.78,32140.6,943.3590871703833,29224.0,1466.1,0.30304576336566325,1035542.52,1466.1
100,11,7,5,50,1.0,1.0,39.2505959974369,0.6254119527565427,38.447254000930116,0.565424406666923,115060.28,1923.5112031312499,53192.78,32140.6,943.3590871703833,29224.0,1703.1,0.30304576336566325,1265663.08,1703.1
200,3,2,5,50,1.0,1.0,21.202377998270094,0.31198714661371674,20.806763998116367,0.38555905832620013,229031.48,3845.9684868226173,106024.38,63970.2,1886.7181743407666,58534.0,758.1,0.30304576336566325,687094.4400000001,758.1
200,5,3,5,50,1.0,1.0,35.12990000192076,0.5510594218306577,34.46840399992652,0.6376158746599074,229031.48,3845.9684868226173,106024.38,63970.2,1886.7181743407666,58534.0,994.1,0.30304576336566325,1145157.4000000001,994.1
200,7,4,5,50,1.0,1.0,49.19230799772777,0.6651254928525551,48.20794999948703,0.6893524801255729,229031.48,3845.9684868226173,106024.38,63970.2,1886.7181743407666,58534.0,1230.1,0.30304576336566325,1603220.36,1230.1
200,9,6,5,50,1.0,1.0,64.01506799971685,1.176158093781916,62.71662800165359,1.1149733675737872,229031.48,3845.9684868226173,106024.38,63970.2,1886.7181743407666,58534.0,1466.1,0.30304576336566325,2061283.32,1466.1
200,11,7,5,50,1.0,1.0,77.82413000182714,1.1198063625505108,76.33601199835539,1.2088060393858722,229031.48,3845.9684868226173,106024.38,63970.2,1886.7181743407666,58534.0,1703.1,0.30304576336566325,2519346.2800000003,1703.1
