scenario,runs,tampered_blocks,valid_block_finalization_rate_mean,valid_block_finalization_rate_std,aggregator_authorization_verification_rate_mean,aggregator_authorization_verification_rate_std,invalid_block_rejection_rate_mean,invalid_block_rejection_rate_std,invalid_block_acceptance_rate_mean,invalid_block_acceptance_rate_std,mean_valid_verification_time_ms,std_valid_verification_time_ms,mean_invalid_verification_time_ms,std_invalid_verification_time_ms
aggregator_equivocation,39,3600,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3248540705725234,0.014878243561047902,0.28986448708168705,0.004408785891193924
aggregator_signature_tamper,39,3600,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3248540705725234,0.014878243561047902,1.0523150214934363,0.011270516820884063
client_signature_tamper,39,3600,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3248540705725234,0.014878243561047902,1.0539841879800118,0.012751088153243693
client_weight_tamper,39,3600,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3248540705725234,0.014878243561047902,0.2912269445145145,0.005868158740898767
fake_client,39,3600,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3248540705725234,0.014878243561047902,0.30262596149122667,0.0057605527752828565
model_hash_tamper,39,3600,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3248540705725234,0.014878243561047902,0.29044816246746025,0.006018403869835687
omit_client,39,3600,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3248540705725234,0.014878243561047902,0.2881047115029377,0.006675991405642006
payload_hash_tamper,39,3600,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3248540705725234,0.014878243561047902,0.2909781624127476,0.005370895567283149
previous_hash_tamper,39,3600,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3248540705725234,0.014878243561047902,0.00869786336752596,0.00045058584352435083
score_tamper,39,3600,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3248540705725234,0.014878243561047902,0.2939194551846669,0.006362127392282256
unauthorized_aggregator,39,3600,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3248540705725234,0.014878243561047902,1.0493750319823385,0.01362518005755908
weight_tamper,39,3600,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3248540705725234,0.014878243561047902,0.29115897448205846,0.005223984952581995
