run,experiment_name,dataset,split,attack_type,seed,rounds,validator_count,threshold,byzantine_validators,offline_validators,aggregator_count,valid_block_finalization_rate,aggregator_authorization_verification_rate,mean_valid_verification_time_ms,scenario,invalid_block_rejection_rate,invalid_block_acceptance_rate,tampered_blocks,mean_invalid_verification_time_ms
core_cifar10_iid_adaptive_scaling_proposed_s42_20260607_200333,core_cifar10_iid_adaptive_scaling_proposed_s42,CIFAR10,IID,adaptive_scaling,42,120,5,3,0,0,5,1.0,1.0,2.034097498108167,score_tamper,1.0,0.0,120,0.28317749917429563
core_cifar10_iid_adaptive_scaling_proposed_s42_20260607_200333,core_cifar10_iid_adaptive_scaling_proposed_s42,CIFAR10,IID,adaptive_scaling,42,120,5,3,0,0,5,1.0,1.0,2.034097498108167,weight_tamper,1.0,0.0,120,0.2799149981001392
core_cifar10_iid_adaptive_scaling_proposed_s42_20260607_200333,core_cifar10_iid_adaptive_scaling_proposed_s42,CIFAR10,IID,adaptive_scaling,42,120,5,3,0,0,5,1.0,1.0,2.034097498108167,client_weight_tamper,1.0,0.0,120,0.2793950011740284
core_cifar10_iid_adaptive_scaling_proposed_s42_20260607_200333,core_cifar10_iid_adaptive_scaling_proposed_s42,CIFAR10,IID,adaptive_scaling,42,120,5,3,0,0,5,1.0,1.0,2.034097498108167,model_hash_tamper,1.0,0.0,120,0.2785241680006341
core_cifar10_iid_adaptive_scaling_proposed_s42_20260607_200333,core_cifar10_iid_adaptive_scaling_proposed_s42,CIFAR10,IID,adaptive_scaling,42,120,5,3,0,0,5,1.0,1.0,2.034097498108167,previous_hash_tamper,1.0,0.0,120,0.008331667049787939
core_cifar10_iid_adaptive_scaling_proposed_s42_20260607_200333,core_cifar10_iid_adaptive_scaling_proposed_s42,CIFAR10,IID,adaptive_scaling,42,120,5,3,0,0,5,1.0,1.0,2.034097498108167,omit_client,1.0,0.0,120,0.2714674980476654
core_cifar10_iid_adaptive_scaling_proposed_s42_20260607_200333,core_cifar10_iid_adaptive_scaling_proposed_s42,CIFAR10,IID,adaptive_scaling,42,120,5,3,0,0,5,1.0,1.0,2.034097498108167,fake_client,1.0,0.0,120,0.28975916575291194
core_cifar10_iid_adaptive_scaling_proposed_s42_20260607_200333,core_cifar10_iid_adaptive_scaling_proposed_s42,CIFAR10,IID,adaptive_scaling,42,120,5,3,0,0,5,1.0,1.0,2.034097498108167,client_signature_tamper,1.0,0.0,120,1.5171716663947639
core_cifar10_iid_adaptive_scaling_proposed_s42_20260607_200333,core_cifar10_iid_adaptive_scaling_proposed_s42,CIFAR10,IID,adaptive_scaling,42,120,5,3,0,0,5,1.0,1.0,2.034097498108167,payload_hash_tamper,1.0,0.0,120,0.2785666649288032
core_cifar10_iid_adaptive_scaling_proposed_s42_20260607_200333,core_cifar10_iid_adaptive_scaling_proposed_s42,CIFAR10,IID,adaptive_scaling,42,120,5,3,0,0,5,1.0,1.0,2.034097498108167,evidence_hash_tamper,1.0,0.0,120,0.44702000110798207
core_cifar10_iid_adaptive_scaling_proposed_s42_20260607_200333,core_cifar10_iid_adaptive_scaling_proposed_s42,CIFAR10,IID,adaptive_scaling,42,120,5,3,0,0,5,1.0,1.0,2.034097498108167,missing_evidence,1.0,0.0,120,0.28140583502439165
core_cifar10_iid_adaptive_scaling_proposed_s42_20260607_200333,core_cifar10_iid_adaptive_scaling_proposed_s42,CIFAR10,IID,adaptive_scaling,42,120,5,3,0,0,5,1.0,1.0,2.034097498108167,unauthorized_aggregator,1.0,0.0,120,1.5158358328335453
core_cifar10_iid_adaptive_scaling_proposed_s42_20260607_200333,core_cifar10_iid_adaptive_scaling_proposed_s42,CIFAR10,IID,adaptive_scaling,42,120,5,3,0,0,5,1.0,1.0,2.034097498108167,aggregator_signature_tamper,1.0,0.0,120,1.5109341657080222
core_cifar10_iid_adaptive_scaling_proposed_s42_20260607_200333,core_cifar10_iid_adaptive_scaling_proposed_s42,CIFAR10,IID,adaptive_scaling,42,120,5,3,0,0,5,1.0,1.0,2.034097498108167,aggregator_equivocation,1.0,0.0,120,0.2791741671292887
core_cifar10_iid_adaptive_scaling_proposed_s42_20260607_200333,core_cifar10_iid_adaptive_scaling_proposed_s42,CIFAR10,IID,adaptive_scaling,42,120,5,3,0,0,5,1.0,1.0,2.034097498108167,self_consistent_score_tamper,1.0,0.0,120,2.0077249993240303
core_cifar10_iid_adaptive_scaling_proposed_s42_20260607_200333,core_cifar10_iid_adaptive_scaling_proposed_s42,CIFAR10,IID,adaptive_scaling,42,120,5,3,0,0,5,1.0,1.0,2.034097498108167,self_consistent_weight_tamper,1.0,0.0,120,1.9916366691177245
core_cifar10_iid_adaptive_scaling_proposed_s42_20260607_200333,core_cifar10_iid_adaptive_scaling_proposed_s42,CIFAR10,IID,adaptive_scaling,42,120,5,3,0,0,5,1.0,1.0,2.034097498108167,evidence_score_tamper,1.0,0.0,120,1.9806491652464802
core_cifar10_iid_backdoor_proposed_s42_20260607_231921,core_cifar10_iid_backdoor_proposed_s42,CIFAR10,IID,backdoor,42,120,5,3,0,0,5,1.0,1.0,2.027505834121257,score_tamper,1.0,0.0,120,0.2767325007880572
core_cifar10_iid_backdoor_proposed_s42_20260607_231921,core_cifar10_iid_backdoor_proposed_s42,CIFAR10,IID,backdoor,42,120,5,3,0,0,5,1.0,1.0,2.027505834121257,weight_tamper,1.0,0.0,120,0.27516083428054117
core_cifar10_iid_backdoor_proposed_s42_20260607_231921,core_cifar10_iid_backdoor_proposed_s42,CIFAR10,IID,backdoor,42,120,5,3,0,0,5,1.0,1.0,2.027505834121257,client_weight_tamper,1.0,0.0,120,0.27431833223090507
core_cifar10_iid_backdoor_proposed_s42_20260607_231921,core_cifar10_iid_backdoor_proposed_s42,CIFAR10,IID,backdoor,42,120,5,3,0,0,5,1.0,1.0,2.027505834121257,model_hash_tamper,1.0,0.0,120,0.27462916671841714
core_cifar10_iid_backdoor_proposed_s42_20260607_231921,core_cifar10_iid_backdoor_proposed_s42,CIFAR10,IID,backdoor,42,120,5,3,0,0,5,1.0,1.0,2.027505834121257,previous_hash_tamper,1.0,0.0,120,0.008321668186302608
core_cifar10_iid_backdoor_proposed_s42_20260607_231921,core_cifar10_iid_backdoor_proposed_s42,CIFAR10,IID,backdoor,42,120,5,3,0,0,5,1.0,1.0,2.027505834121257,omit_client,1.0,0.0,120,0.2678541677596513
core_cifar10_iid_backdoor_proposed_s42_20260607_231921,core_cifar10_iid_backdoor_proposed_s42,CIFAR10,IID,backdoor,42,120,5,3,0,0,5,1.0,1.0,2.027505834121257,fake_client,1.0,0.0,120,0.2844583342569725
core_cifar10_iid_backdoor_proposed_s42_20260607_231921,core_cifar10_iid_backdoor_proposed_s42,CIFAR10,IID,backdoor,42,120,5,3,0,0,5,1.0,1.0,2.027505834121257,client_signature_tamper,1.0,0.0,120,1.5052583328118392
core_cifar10_iid_backdoor_proposed_s42_20260607_231921,core_cifar10_iid_backdoor_proposed_s42,CIFAR10,IID,backdoor,42,120,5,3,0,0,5,1.0,1.0,2.027505834121257,payload_hash_tamper,1.0,0.0,120,0.2744133324692181
core_cifar10_iid_backdoor_proposed_s42_20260607_231921,core_cifar10_iid_backdoor_proposed_s42,CIFAR10,IID,backdoor,42,120,5,3,0,0,5,1.0,1.0,2.027505834121257,evidence_hash_tamper,1.0,0.0,120,0.4409841632877942
core_cifar10_iid_backdoor_proposed_s42_20260607_231921,core_cifar10_iid_backdoor_proposed_s42,CIFAR10,IID,backdoor,42,120,5,3,0,0,5,1.0,1.0,2.027505834121257,missing_evidence,1.0,0.0,120,0.2756183329135335
